week,label,queue,volume,resolution,grounded,handoff,latency,modelCost
0,Jun 29,billing,1100,68.0,94.6,36.75,1.85,0.14
0,Jun 29,account,973,73.01,94.05,32.41,1.998,0.1467
0,Jun 29,orders,1439,78.09,95.48,26.69,1.691,0.1473
0,Jun 29,technical,826,59.17,91.26,42.26,2.161,0.1411
1,Jul 06,billing,1157,69.72,94.75,35.92,1.803,0.1428
1,Jul 06,account,1004,74.05,94.03,31.28,1.918,0.147
1,Jul 06,orders,1449,78.3,95.22,25.66,1.629,0.1438
1,Jul 06,technical,825,59.16,90.92,41.64,2.15,0.1362
2,Jul 13,billing,1206,70.96,94.82,34.88,1.725,0.1447
2,Jul 13,account,1023,74.42,93.85,30.17,1.849,0.1453
2,Jul 13,orders,1449,78.27,94.88,24.87,1.609,0.1391
2,Jul 13,technical,827,59.57,90.65,41.27,2.175,0.1319
3,Jul 20,billing,1243,71.5,94.73,33.74,1.651,0.145
3,Jul 20,account,1030,74.4,93.55,29.22,1.819,0.1418
3,Jul 20,orders,1446,78.52,94.55,24.35,1.628,0.1342
3,Jul 20,technical,837,60.67,90.51,41.02,2.203,0.1292
4,Jul 27,billing,1265,71.55,94.5,32.67,1.611,0.1433
4,Jul 27,account,1030,74.52,93.2,28.52,1.831,0.1371
4,Jul 27,orders,1450,79.42,94.33,24.04,1.658,0.1299
4,Jul 27,technical,859,62.33,90.54,40.74,2.2,0.1283
5,Aug 03,billing,1274,71.57,94.17,31.8,1.615,0.1398
5,Aug 03,account,1028,75.22,92.91,28.09,1.861,0.1322
5,Aug 03,orders,1468,80.95,94.26,23.8,1.664,0.1272
5,Aug 03,technical,891,64.09,90.67,40.28,2.153,0.1294
6,Aug 10,billing,1274,72.08,93.83,31.21,1.644,0.1351
6,Aug 10,account,1031,76.6,92.74,27.82,1.875,0.1279
6,Aug 10,orders,1503,82.74,94.34,23.47,1.626,0.1263
6,Aug 10,technical,930,65.46,90.84,39.56,2.075,0.1318
7,Aug 17,billing,1271,73.28,93.58,30.85,1.665,0.1302
7,Aug 17,account,1043,78.37,92.73,27.57,1.848,0.1252
7,Aug 17,orders,1557,84.27,94.49,22.92,1.553,0.1274
7,Aug 17,technical,973,66.15,90.94,38.58,2.001,0.1347
8,Aug 24,billing,1274,74.99,93.47,30.61,1.647,0.1259
8,Aug 24,account,1067,80.02,92.85,27.17,1.78,0.1243
8,Aug 24,orders,1623,85.15,94.64,22.1,1.475,0.1298
8,Aug 24,technical,1014,66.26,90.9,37.46,1.961,0.1373
9,Aug 31,billing,1288,76.73,93.52,30.32,1.587,0.1232
9,Aug 31,account,1103,81.1,93.01,26.52,1.7,0.1254
9,Aug 31,orders,1694,85.39,94.69,21.06,1.425,0.1327
9,Aug 31,technical,1047,66.25,90.7,36.34,1.965,0.1385
10,Sep 07,billing,1317,78.0,93.67,29.84,1.506,0.1223
10,Sep 07,account,1148,81.5,93.13,25.61,1.642,0.1278
10,Sep 07,orders,1762,85.36,94.6,19.92,1.42,0.1353
10,Sep 07,technical,1070,66.62,90.39,35.39,1.994,0.1379
11,Sep 14,billing,1360,78.58,93.82,29.09,1.441,0.1234
11,Sep 14,account,1197,81.49,93.13,24.52,1.627,0.1307
11,Sep 14,orders,1817,85.58,94.35,18.84,1.447,0.1365
11,Sep 14,technical,1082,67.68,90.05,34.69,2.015,0.1354
12,Sep 21,billing,1413,78.64,93.9,28.1,1.416,0.1258
12,Sep 21,account,1243,81.59,92.97,23.38,1.649,0.1333
12,Sep 21,orders,1856,86.44,94.01,17.97,1.472,0.1359
12,Sep 21,technical,1085,69.31,89.76,34.25,1.997,0.1313
